ID,English,Korean,Japanese,Type
LUs_1001_00,Small Oil Tank,작은 오일통,小さなオイル缶,아이템
LUs_1001_01,Oil Tank,연료통,オイル缶,아이템
LUs_1002_00,Repair Kit,수리 키트,修理キット,아이템
LUs_1002_01,A set to repair malfunctions,고장을 수리하는 세트,故障を修理するセット,아이템
LUs_2001_00,lugworm,갯지렁이,ゴカイ,아이템
LUs_2001_01,Live bait using lugworms,갯지렁이를 이용한 생미끼,ゴカイを使った生餌,아이템
LUs_3001_00,Lottery ToTo,또또복권,トト宝くじ,아이템
LUs_3001_01,Aim for a quick fortune.,일확천금을 노리세요.,一攫千金を狙ってください。,아이템
LUs_3002_00,Bada News,바다일보,バダ日報,아이템
LUs_3002_01,news of the day,오늘의 뉴스,今日のニュース,아이템
LFs_1001_00,Anchovy,멸치,カタクチイワシ,생선
LFs_1001_01,The anchovy is a small schooling forage fish that is a vital link in the food chain and is commercially important for food and bait worldwide.,멸치는 전 세계적으로 식품과 미끼로 상업적 중요성이 크고 먹이사슬의 핵심 고리 역할을 하는 작은 무리 생활 어류입니다.,カタクチイワシは全世界的に食品と餌で商業的重要性が大きく、食物連鎖の核心的な輪の役割をする小さな群れ生活魚類です。,생선
LFs_1002_00,Sea Bass,농어,https://ja.dict.naver.com/#/entry/jako/8efe8c03f46a4f3b925c13fa96d469b4,생선
LFs_1002_01,"Sea Bass is a popular. high-value food fish found in temperate to tropical marine waters, known for its mild, sweet flavor and firm, white flesh.",온화하거나 열대 지방의 바닷물에 서식하며 살이 희고 맛이 순하며 단단한 식감으로 전 세계적으로 인기 있는 고급 식용 어종입니다.,穏やかであったり熱帯地方の海水に生息し、白身で味がまろやかで硬い食感で世界中で人気の高級食用魚種です。,생선
LFs_1003_00,Flounder,가자미,https://ja.dict.naver.com/#/entry/jako/3c906203ba504262ad9f3888cc50002e,생선
LFs_1003_01,It is a fish with a flat body and both eyes on one side which hides on sandy or muddy ocean floors.,몸이 납작하고 두 눈이 한쪽으로 몰려 모래나 진흙 바닥에 숨어 사는 물고기입니다.,体が平たく、両目が片方に集まって砂や泥の底に隠れて暮らす魚です。,생선
LFs_1004_00,Mullet,숭어,ボラ,생선
LFs_1004_01,Mullet is an omnivorous migratory species that lives in warm seas and estuaries worldwide is known for its leaping ability and is popular as a food fish.,전 세계의 따뜻한 바다와 강 하구에 살며 물 위로 잘 뛰어오르고 식용으로 인기 있는 잡식성 회유 어종입니다.,世界中の暖かい海と河口に住み、水の上によく飛び上がり、食用として人気の雑食性回遊魚種です。,생선
LFs_2001_00,Octopus,문어,https://ja.dict.naver.com/#/entry/jako/7a1e2b3a809a4678be46e9aae196f756,생선
LFs_2001_01,It is a mollusk with eight arms and three hearts that uses its superb intelligence and camouflage to avoid predators and hunt in the ocean.,8개의 팔과 3개의 심장을 가졌으며 뛰어난 지능과 위장술로 바닷속에서 포식자를 피하고 사냥하는 연체동물입니다.,8つの腕と3つの心臓を持ち、優れた知能と胃腸術で海中で捕食者を避けて狩りをする軟体動物です。,생선
LFs_2002_00,Amberjack,방어,ブリ,생선
LFs_2002_01,Amberjack is a powerful migratory predator known globally as a top sport fish and commercially valued especially for the large winter fish.,전 세계 온대 및 열대 해역에 서식하는 대형 포식성 어종으로 강한 힘 때문에 낚시꾼들에게 인기가 많으며 한국에서는 겨울철 대방어가 고급 식재료로 인기가 높습니다.,世界中の温帯および熱帯海域に生息する大型捕食性魚種で、強い力から釣り人に人気が高く、韓国では冬場の大ブリが高級食材として人気が高いです。,생선
LFs_2003_00,Ocean Sunfish,개복치,マンボウ,생선
LFs_2003_01,The Ocean Sunfish has a rudder-like clavus instead of a tail and basks on the surface or jumps to dislodge its many parasites.,개복치는 꼬리 대신 키잡이 역할을 하는 클라부스를 가졌고 몸에 기생하는 수많은 기생충을 없애기 위해 수면에서 일광욕을 하거나 점프하는 특이한 행동을 보이는 물고기입니다.,マンボウは尾びれの代わりに舵取りの役割をする舵びれ（クラヴス）を持ち体内に寄生する数多くの寄生虫を駆除するために水面で日光浴をしたりジャンプしたりする特異な行動を見せる魚です。,생선
LFs_2004_00,Cutlassfish,갈치,太刀魚,생선
LFs_2004_01,The Cutlassfish is a popular edible fish with a long flat knife-like body a silvery-white sheen that is nocturnal and preys on other fish.,갈치는 칼처럼 길고 납작한 몸에 은백색 광택이 나며 밤에 활동하고 다른 물고기를 잡아먹고 사는 대중적인 식용 어류입니다.,太刀魚は刀のように細長く平たい体に銀白色の光沢があり夜間に活動し他の魚を捕食して生きる大衆的な食用魚です。,생선
LFs_2005_00,Swordfish,황새치,メカジキ,생선
LFs_2005_01,The Swordfish is a large marine fish characterized by a long flat sword-like bill and is one of the fastest oceanic predators inhabiting tropical and temperate seas worldwide.,황새치는 칼처럼 길고 납작한 주둥이가 특징이며 가장 빠른 해양 포식자 중 하나로 전 세계 열대와 온대 바다에 서식하는 대형 어류입니다.,メカジキは刀のように細長く平たい吻 (ふん) を特徴とし最も速い海洋捕食者の一つで世界中の熱帯および温帯の海に生息する大型魚です。,생선
LFs_3001_00,Giant Squid,대왕 오징어,だいおういか,생선
LFs_3001_01,The Giant Squid is an elusive colossal cephalopod inhabiting the deep sea growing over 40 feet (13 meters) long with the largest eyes in the animal kingdom.,대왕오징어는 길이 13미터 이상에 달하고 지구상에서 가장 큰 눈을 가진 것으로 알려져 있으며 심해에 서식하는 신비로운 초대형 두족류입니다.,ダイオウイカは体長が13メートル以上に達し地球上で最大の目を持つことで知られる深海に生息する神秘的な超大型の頭足類です。,생선
LMn_0001,Continue,계속하기,つづく,ETC
LMn_0002,New Start,새로시작,新たにスタート,ETC
LMn_0003,Credit,크레디트,クレジット,ETC
LMn_0004,Setting,옵션,オプション,ETC
LMn_0005,Exit,나가기,でかけ,ETC
