ID,English,Korean,Japanese, Chinese,Type
fs_1001,Anchovy,멸치,カタクチイワシ,鳀鱼,생선
fs_1001_01,Anchovies are small schooling fish with great commercial importance as food and bait worldwide.,멸치는 전 세계적으로 식품과 미끼로 상업적 중요성이 큽니다. 먹이 사슬의 핵심 고리 역할을 하는 작은 무리 생활 어류입니다.,カタクチイワシは食用や餌として世界的に商業的重要性を持つ小さな群れを作る魚です。,鳀鱼是一种小型群居鱼类在全球范围内作为食物和鱼饵具有重要的商业价值。,ETC
fs_1002,Mackerel,고등어,サバ,鲭鱼,생선
fs_1002_01,A blue-backed fish characterized by blue wavy patterns on its back. It is highly valued for its flavor and nutrition resulting in very high commercial catch rates worldwide.,등쪽의 푸른 물결 무늬가 특징인 등푸른 생선입니다. 맛과 영양이 뛰어나 전 세계적으로 상업적 어획량이 매우 높습니다.,背中の青い波状の模様が特徴の青魚です。味と栄養価が高く世界中で商業的な漁獲量が非常に多くなっています。,一种背部有蓝色波浪状花纹的青鱼. 它因美味高营养而在全球范围内具有极高的商业捕捞量。,ETC
fs_1003,Horse Mackerel,전갱이,マアジ,蓝圆鲹,생선
fs_1003_01,A blue-backed fish characterized by hard spiny scutes along its lateral line. It migrates in large schools and holds significant commercial value as a food source.,몸 측면에 단단한 모비늘이 특징인 등푸른 생선입니다. 큰 무리를 지어 회유하며 식용으로 중요한 상업적 가치를 지닙니다.,体側の硬いぜいごが特徴の青魚です。大きな群れで回遊し食用として商業的に重要な価値を持ちます。,一种体侧有坚硬棱鳞的青色鱼类. 它成群结队洄游具有重要的食用商业价值。,ETC
fs_1004,Saury,꽁치,サンマ,秋刀鱼,생선
fs_1004_01,A slender silvery pelagic migratory fish with a long pointed snout. It possesses high oil content and excellent flavor making it a primary target for global fisheries.,몸이 가늘고 길며 주둥이가 뾰족한 은백색의 표층성 회유어종입니다. 높은 지방 함량과 뛰어난 풍미를 지녀 주요 어획 대상이 되는 물고기입니다.,体が細長く口先が尖った銀白色の表層回遊魚です。脂質が多く風味が良いため重要な漁獲対象とされる魚種です。,一种身体细长吻部尖锐的银白色表层洄游鱼类. 它富含脂肪味道鲜美是重要的捕捞鱼类。,ETC
fs_1005,Sea Urchin,성게,ウニ,海胆,생선
fs_1005_01,An echinoderm whose body is covered entirely by a hard shell and numerous spines. It moves very slowly and holds high value for consumption along with sea cucumbers and jellyfish.,몸 전체가 딱딱한 껍데기와 수많은 가시로 덮여 있는 극피동물입니다. 이동 속도는 매우 느리며 해삼 해파리와 함께 식용으로 가치가 높습니다.,体全体が硬い殻と無数の棘で覆われている棘皮動物です。移動速度は非常に遅くナマコやクラゲと共に食用として価値が高いです。,是一种全身覆盖着坚硬外壳和无数棘刺的棘皮动物. 它的移动速度非常缓慢与海参海蜇一起具有很高的食用价值。,ETC
fs_1006,bigfinreefsquid,무늬오징어,アオリイカ,拟乌贼,생선
fs_1006_01,A large squid species with wide fins along its mantle edge. It has excellent color-changing ability and is highly valued as a premium catch.,몸통 가장자리에 넓은 지느러미를 가진 대형 오징어류입니다. 뛰어난 색깔 변화 능력을 가지며 고급 어종으로 높은 경제적 가치를 지닙니다.,胴体の縁に沿って広いひれを持つ大型のイカです。優れた体色変化能力を持ち高級魚種として高い経済的価値があります。,是一种胴体边缘带有宽大鳍的大型鱿鱼. 它具有出色的变色能力作为高级渔获具有很高的经济价值。,ETC
fs_1007,filefish,쥐치,カワハギ,马面鲀,생선
fs_1007_01,A fish with a flat diamond-shaped body whose tough skin is typically peeled before consumption. It is characterized by a pointed snout and a rigid first dorsal fin spine.,몸이 마름모꼴로 납작하며 껍질이 거칠고 질겨 요리 전 벗겨내는 특징이 있습니다. 뾰족한 주둥이와 단단한 첫 번째 등지느러미 가시가 특징적인 어종입니다.,体が菱形で側扁しており料理の前に硬い皮を剥ぐ特徴があります。尖った口先と硬い第一背びれの棘が特徴的な魚種です。,一种身体扁平呈菱形的鱼类其坚韧的鱼皮通常在食用前被剥掉. 它的特征是尖尖的吻部和坚硬的第一背鳍棘。,ETC
fs_1008,yellowtang,옐로우탱,キイロハギ,黄吊,생선
fs_1008_01,An ornamental tropical fish distinguished by its vibrant bright yellow body color. It is highly popular in aquariums for its role in removing algae and biofilm.,몸 전체가 선명하고 밝은 노란색을 띠는 관상용 열대어입니다. 수족관에서 이끼와 조류를 제거하는 역할로 인기가 매우 높습니다.,体全体が鮮やかで明るい黄色を帯びた観賞用の熱帯魚です。水槽内の苔や藻類を食べる役割で非常に高い人気があります。,是一种全身呈现鲜艳亮黄色的观赏性热带鱼. 它在水族箱中因清除藻类和生物膜的作用而非常受欢迎。,ETC
fs_1009,butterflyfish,나비고기,チョウチョウウオ,蝶鱼,생선
fs_1009_01,A tropical fish with a round flattened body and vibrant diverse patterns and colors. It inhabits coral reefs and holds high value globally as an ornamental fish.,몸이 둥글고 납작하며 화려하고 다양한 무늬와 색상을 가진 열대어입니다. 산호초 주변에 서식하며 관상어로서 전 세계적으로 높은 가치를 지닙니다.,丸く平たい体と鮮やかで多様な模様を持つ熱帯魚です。サンゴ礁の周りに生息し観賞魚として世界的に高い価値を持ちます。,是一种身体扁平圆润具有华丽多样图案和色彩的热带鱼. 它们栖息在珊瑚礁周围作为观赏鱼在全球范围内具有很高的价值。,ETC
fs_1010,cleanerwrasse,청소놀래기,ホンソメワケベラ,裂唇鱼,생선
fs_1010_01,It acts as a cleaner eating parasites from other fish. This brightly striped fish forms an important symbiotic relationship in the coral reef ecosystem.,다른 물고기의 기생충을 먹는 청소부 역할을 합니다. 산호초 생태계에서 중요한 공생 관계를 형성하는 밝은 줄무늬 어종입니다.,他の魚の寄生虫を食べる掃除屋の役割を果たします。サンゴ礁の生態系で重要な共生関係を築く明るい縞模様の魚です。,它们充当清洁工吃掉其他鱼类身上的寄生虫. 这种有鲜明条纹的鱼在珊瑚礁生态系统中形成重要共生关系。,ETC
fs_1011,chromis,자리돔,スズメダイ,雀鲷,생선
fs_1011_01,A small reef fish typically black or dark brown in color. It lives in schools near coral reefs and serves as an important ecosystem component.,작은 크기에 검은색이나 갈색을 띠는 암초성 어류입니다. 산호초 주변에서 무리를 지어 생활하며 중요한 생태계 구성원 역할을 합니다.,小さなサイズで黒や茶色を帯びた岩礁性の魚です。サンゴ礁に群れで生息し重要な生態系の構成要素としての役割を果たします。,是一种体型较小呈黑色或棕色的礁区鱼类. 它们在珊瑚礁区域集群生活并作为重要的生态系统组成部分发挥作用。,ETC
fs_1012,pinkshrimp,단새우,アマエビ,北方长额虾,생선
fs_1012_01,A pink-colored shrimp primarily inhabiting cold waters. It has a thin shell and intense sweetness making it highly valued for raw consumption.,주로 한랭한 수역에 서식하는 분홍빛의 새우입니다. 껍질이 얇고 단맛이 강해 생식용으로 높은 가치를 지닙니다.,寒冷な水域に主に生息するピンク色のエビです。殻が薄く甘みが強いため生食用として非常に価値が高いです。,是一种主要栖息在寒冷水域的粉红色虾. 它的外壳薄甜味浓郁因此生食价值极高。,ETC
fs_1013,grubfish,쌍동가리,クルカケトラギス,六带副鳚,생선
fs_1013_01,A benthic fish with a cylindrical body and a protruding lower jaw. It has distinct vertical bands and hides primarily in sandy bottoms.,아래턱이 튀어나온 바닥에서 사는 물고기입니다. 몸통에 뚜렷한 가로 줄무늬가 있으며 모래 바닥에 몸을 숨기고 생활합니다.,体が円筒形で下顎が突き出た底生魚です。体側に明確な横縞模様があり砂泥底に身を潜めて生活します。,是一种身体圆柱下颌突出的底栖鱼类. 它的身体有明显的横向条纹主要隐藏在沙质海底生活。,ETC
fs_1014,marbledrockfish,쏨뱅이,カサゴ,鲉鱼,생선
fs_1014_01,A fish with a large head and stout body covered with bumpy protuberances on the surface. Its dorsal fin spines contain venom causing intense pain if stung.,머리가 크고 몸통이 뚱뚱하며 표면에 울퉁불퉁한 돌기가 많은 어류입니다. 등지느러미 가시에 독이 있어 찔리면 강한 통증을 유발합니다.,頭が大きくずんぐりした体つきで表面に凹凸の多い突起がある魚です。背びれの棘に毒があり刺されると強い痛みを引き起こします。,是一种头大体粗壮表面有许多凹凸不平突起的鱼类. 它的背鳍棘带有毒性被刺中会引起强烈的疼痛。,ETC
fs_1101,bluestripedfangblenny,청줄베도라치,テンクロスジギンポ,条纹狐鳚,생선
fs_1101_01,A fish with distinct dark blue stripes and sharp fang-like teeth. It acts as an opportunistic cleaner occasionally nipping the flesh or mucus of other fish.,몸에 짙은 푸른색 줄무늬가 뚜렷하며 날카로운 송곳니 같은 이빨이 있는 어류입니다. 다른 물고기의 살점이나 점액을 떼어 먹는 습성이 있는 기회주의적 청소부입니다.,体に濃い青色の縞模様と鋭い犬歯を持つ魚です。他の魚の肉片や粘液を剥ぎ取る習性を持つ日和見的な掃除屋です。,是一种身体有深蓝色条纹和锋利犬齿的鱼类. 它扮演机会主义清洁工的角色会咬食其他鱼类的肉或粘液。,ETC
fs_1102,lionfish,쏠배감펭,ミノカサゴ,狮子鱼,생선
fs_1102_01,A beautiful tropical fish with vibrant colors and long flowing spiny fins. Its dorsal fin spines are venomous and it is a highly aggressive predator in the coral reef ecosystem.,화려한 색상과 길게 늘어진 가시 지느러미를 가진 아름다운 열대어입니다. 등지느러미 가시에 독이 있으며 산호초 생태계에서 매우 공격적인 포식자입니다.,鮮やかな色彩と長く伸びた鰭条を持つ美しい熱帯魚です。背びれの棘に毒がありサンゴ礁の生態系で非常に攻撃的な捕食者です。,是一种色彩华丽带有修长棘鳍的热带鱼. 它的背鳍棘有毒性是珊瑚礁生态系统中极具攻击性的捕食者。,ETC
fs_1103,pipefish,실고기,ヨウジウオ,海龙,생선
fs_1103_01,A fish with a very long slender body and a lengthy tubular snout similar to a seahorse. It lives camouflaged among seaweed or grass and the male protects the eggs in a pouch.,몸이 매우 가늘고 길며 해마처럼 긴 대롱 모양의 주둥이를 가진 어류입니다. 수초나 해조류 사이에서 몸을 세우거나 위장하며 생활하고 수컷이 알을 보호하는 특징이 있습니다.,体が非常に細長くタツノオトシゴのような筒状の吻を持つ魚です。海草や海藻の間で擬態して生活しオスが卵を保護する特徴があります。,是一种身体非常细长具有类似海马的管状长吻的鱼类. 它在水草或海藻间伪装生活并且由雄性负责保护鱼卵。,ETC
fs_1104,yellowtaildamselfish,노랑꼬리 자리돔,ルリスズメダイ,黄尾雀鲷,생선
fs_1104_01,A small tropical fish with a blue body and a bright yellow tail fin. It inhabits coral reefs shows strong territorial behavior and is popular as an aquarium fish.,몸은 푸른색이며 꼬리 지느러미만 선명한 노란색인 소형 열대어입니다. 산호초에 서식하며 영역 방어 습성이 강해 관상어로 인기가 높습니다.,体は青色で尾びれだけが鮮やかな黄色をした小型熱帯魚です。サンゴ礁に生息し縄張り意識が強く観賞魚としても人気があります。,是一种身体为蓝色但尾鳍鲜艳黄色的小型热带鱼. 它们栖息在珊瑚礁上具有强烈的领地防御习性作为观赏鱼很受欢迎。,ETC
fs_1105,yellowboxfish,노랑거북복,ハコフグ,箱鲀,생선
fs_1105_01,A fish whose body is covered by hard plates giving it a square box shape. It secretes toxic mucus when threatened and is popular as an ornamental fish.,몸이 단단한 육각형 골판으로 덮여 사각형 상자 모양을 띠는 어류입니다. 위협 시 독성 점액을 분비하며 독특한 외모로 관상어 인기가 높습니다.,体が硬い甲板に覆われて箱のような形をした魚です。脅威時に有毒な粘液を分泌し独特な見た目から観賞魚として人気が高いです。,是一种身体被坚硬骨板覆盖呈方形箱状的鱼类. 它在受威胁时分泌有毒黏液因独特外形而作为观赏鱼很受欢迎。,ETC
fs_1201,rockbream,돌돔,イシダイ,七带石鲷,생선
fs_1201_01,A high-value fish with a stout body featuring seven dark vertical bands. Its beak-like teeth are strong allowing it to crush hard prey like sea urchins and shellfish.,몸에 짙은 검은색 줄무늬 7개가 있는 단단한 체형의 고급 어종입니다. 이빨이 부리 모양으로 단단해 성게나 조개류 같은 딱딱한 먹이를 부숴 먹습니다.,体に7本の濃い黒縞がある頑丈な体型の高級魚です。嘴状の丈夫な歯を持ちウニや貝類などの硬い餌を噛み砕きます。,是一种身体有七条黑色横带的粗壮高级鱼类. 它的牙齿呈喙状可以轻松咬碎海胆或贝类等坚硬食物。,ETC
fs_1202,parrotfish,앵무고기,ブダイ,鹦嘴鱼,생선
fs_1202_01,A tropical fish with brilliant colors and a hard beak-like mouth. It uses its tough beak to graze on coral reefs playing a crucial ecosystem role.,선명하고 화려한 색상을 가진 열대어로 입이 앵무새 부리 모양으로 변형되었습니다. 단단한 부리로 산호초를 갉아 먹으며 생태계에서 중요한 역할을 합니다.,鮮やかな色彩を持ち口がオウムの嘴のように変形した熱帯魚です。硬い嘴でサンゴ礁を削り取り生態系で重要な役割を果たします。,是一种色彩鲜艳嘴部形似鹦鹉喙的鱼类. 它用坚硬的喙啃食珊瑚礁在生态系统中扮演着重要角色。,ETC
fs_1301,unicornfish,유니콘피쉬,テングハギ,鼻鱼,생선
fs_1301_01,A fish with a unique horn-like bony projection on its forehead. It is classified as dangerous due to the sharp scalpel-like bony plates on its body sides.,이마에 뿔처럼 돌출된 독특한 모양의 골질 돌기를 가진 어류입니다. 몸통 양 측면에 날카로운 칼날 모양의 뼈 비늘이 있어 위험한 어종으로 분류됩니다.,額に角のような骨質突起を持つ魚です。体側面に鋭いメス状の骨質板があり危険な魚種に分類されます。,是一种额头带有独特角状骨质突起的鱼类. 它的身体两侧有锋利的骨质鳞片因此被归类为危险鱼种。,ETC
fs_2001,Sea Bass,농어,スズキ,鲈鱼,생선
fs_2001_01,A predatory large fish with a long slender body a large mouth and sharp teeth possessing a strong appetite.,몸이 길고 날씬하며 입이 크고 날카로운 이빨을 가진 왕성한 식욕의 포식성 대형 어류입니다.,体が細長く口が大きく鋭い歯を持つ旺盛な食欲の捕食性大型魚です。,是一种体型细长口大且有锋利牙齿食欲旺盛的捕食性大型鱼类。,ETC
fs_2002,Flounder,가자미,かれい,鲽鱼,생선
fs_2002_01,It is a fish with a flat body and both eyes on one side which hides on sandy or muddy ocean floors.,몸이 납작하고 두 눈이 한쪽으로 몰려 모래나 진흙 바닥에 숨어 사는 물고기입니다.,体が平たく、両目が片方に集まって砂や泥の底に隠れて暮らす魚です。,是一种身体扁平双眼位于头部一侧贴着海底生活的代表性底栖鱼类。,ETC
fs_2003,Mullet,숭어,ボラ,黥鱼,생선
fs_2003_01,A fish with a long cylindrical body and a short snout that primarily lives in schools near coastal or brackish water areas.,몸이 원통형으로 길고 주둥이가 짧으며 주로 연안이나 기수 지역에서 무리를 지어 생활하는 어류입니다.,体が円筒形で細長く口先が短く主に沿岸や汽水域で群れをなして生活する魚です。,是一种身体细长呈圆柱形吻部短小主要在沿海或咸淡水区域集群生活的鱼类。,ETC
fs_2004,Blue Tang,블루탱,ナンヨウハギ,蓝吊,생선
fs_2004_01,An ornamental tropical fish displaying a brilliant blue body color and possessing venomous spines near its caudal fin.,몸 전체가 선명한 파란색을 띠고 꼬리 지느러미 부근에 독이 있는 가시가 있는 관상용 열대어입니다.,体全体が鮮やかな青色で尾びれ付近に毒のある棘を持つ観賞用の熱帯魚です。,是一种全身呈现鲜艳蓝色在尾鳍附近拥有有毒棘刺的观赏性热带鱼。,ETC
fs_2005,Clownfish,흰동가리,クマノミ,小丑鱼,생선
fs_2005_01,A tropical fish characterized by an orange body and white stripes living symbiotically among the tentacles of sea anemones.,주황색 몸통에 흰색 줄무늬가 특징인 열대어로 말미잘 촉수 사이에서 공생하며 생활합니다.,橙色の体に白い縞模様が特徴の熱帯魚でイソギンチャクの触手の間で共生して生活します。,是一种橙色身体带有白色条纹的热带鱼在海葵的触手间共生生活。,ETC
fs_2006,Bluespotted Stingray,꽁지가오리,ヤッコエイ,蓝点𫚉,생선
fs_2006_01,A ray with blue spots and a long whip-like tail that is dangerous due to a venomous barb at the tip of its tail.,푸른색 점무늬와 채찍처럼 긴 꼬리를 가진 가오리로 꼬리 끝에 독침이 있어 위험합니다.,青い斑点模様と鞭のように長い尾を持つエイで尾の先に毒針があり危険です。,是一种带有蓝色斑点和鞭状长尾的𫚉鱼其尾尖有毒刺非常危险。,ETC
fs_2007,spanishmackerel,삼치,サワラ,马鲛鱼,생선
fs_2007_01,A fast-swimming fish with a long slender body displaying a blue back and a silvery-white belly.,몸이 길고 날씬하며 등 쪽은 푸른색 배 쪽은 은백색을 띠는 고속 유영성 어류입니다.,体が細長く背側は青色腹側は銀白色を帯びた高速遊泳性の魚です。,是一种身体细长背部呈蓝色腹部为银白色的快速游动性鱼类。,ETC
fs_2008,redseabream,참돔,マダイ,真鲷,생선
fs_2008_01,A high-grade fish with a reddish body and blue spots on its scales traditionally regarded as a prized species.,몸은 붉은빛을 띠고 비늘에 푸른 점이 있으며 예로부터 귀하게 여겨진 고급 어종입니다.,体は赤みを帯び鱗に青い点があり古くから珍重されてきた高級魚です。,是一种身体呈红色鳞片上有蓝点自古以来就被视为珍贵的高级鱼类。,ETC
fs_2009,chickengrunt,벤자리,イサキ,鸡鱼,생선
fs_2009_01,A fish that has vertical stripes on its body yellow fins and makes a sound similar to a chicken's crow when caught.,몸에 세로줄 무늬가 있고 지느러미가 노란색이며 잡으면 닭 울음소리 비슷한 소리를 내는 어류입니다.,体に縦縞模様があり鰭が黄色く捕まえると鶏の鳴き声に似た音を出す魚です.,是一种身体有垂直条纹鳍呈黄色被捕获时会发出类似鸡叫声响的鱼类。,ETC
fs_2010,sardine,정어리,マイワシ,沙丁鱼,생선
fs_2010_01,A typical small fish with a long silvery body that primarily migrates in large schools.,몸은 길쭉하고 은빛을 띠며 주로 대형 무리를 지어 이동하는 대표적인 소형 어류입니다.,体は細長く銀色を帯びており主に大規模な群れで移動する代表的な小型魚です。,是一种身体细长呈银色主要以大型集群方式移动的典型小型鱼类。,ETC
fs_2011,rockfish,우럭,クロソイ,许氏平鲉,생선
fs_2011_01,A representative coastal fish characterized by its dark or grayish-brown body a large head and firm flesh.,몸은 어둡거나 회갈색이며 머리가 크고 육질이 단단한 것이 특징인 대표적인 연안성 어류입니다.,体は暗色または灰褐色で頭が大きく身が締まっているのが特徴の代表的な沿岸性の魚です。,是一种体色深暗或灰褐色头部较大肉质紧实的鱼类是典型的沿海栖息鱼种。,ETC
fs_2012,cuttlefish,갑오징어,コウイカ,乌贼,생선
fs_2012_01,A marine creature that possesses a hard flat internal shell (cuttlebone) and has an exceptional ability to rapidly change its body color.,몸 안에 단단하고 납작한 석회질 뼈(갑)를 가지고 있으며 매우 빠르게 몸 색깔을 바꾸는 능력이 뛰어납니다.,体内に硬く平らな石灰質の骨(甲)を持ち非常に素早く体の色を変化させる優れた能力があります。,是一种体内具有坚硬扁平石灰质骨骼(海螵蛸)并且拥有快速改变体色超强能力的海洋生物。,ETC
fs_2013,stripedeelcatfish,쏠종개,ゴンズイ,斑纹海鲇,생선
fs_2013_01,A fish with an elongated body and dark horizontal stripes possessing venomous fin spines that cause severe pain if stung.,길쭉한 몸에 짙은 가로줄 무늬가 있고 지느러미 가시에 독이 있어 찔리면 심한 통증을 유발하는 어류입니다.,細長い体に濃い横縞模様があり鰭棘に毒があるため刺されると激しい痛みを引き起こす魚です。,是一种身体细长带有深色横条纹鳍棘有毒被刺中会引起剧烈疼痛的鱼类。,ETC
fs_2014,flatfish,광어,ヒラメ,牙鲆,생선
fs_2014_01,A fish with a flattened body having both eyes concentrated on the left side and an excellent ability to camouflage its color to match the seabed.,몸이 납작하고 두 눈이 왼쪽에 몰려 있으며 위장 능력이 뛰어나 바닥과 비슷한 색으로 변하는 어류입니다.,体が平らで両眼が左側に集まっており海底に合わせて体色を変化させる優れた擬態能力を持つ魚です。,是一种身体扁平双眼聚集在左侧并且具有能随海底颜色快速变色的出色伪装能力的鱼类。,ETC
fs_2015,obtusebarracuda,꼬치고기,カマス,大梭鱼,생선
fs_2015_01,A large predatory fish with a long slender body a protracted snout and sharp teeth generally known for its docile nature.,몸이 가늘고 길쭉하며 주둥이가 길고 날카로운 이빨을 가진 온순한 성격의 대형 포식어류입니다.,体が細長く口先が長く鋭い歯を持つ温和な性質の大型捕食魚です。,是一种身体细长吻部突出具有尖锐牙齿且性格相对温和的大型掠食性鱼类。,ETC
fs_2016,salmon,연어,サケ,三文鱼,생선
fs_2016_01,A migratory fish that spends most of its life in the ocean and returns to the river or stream where it was born to spawn.,대부분의 생애를 바다에서 보내고 산란기가 되면 자신이 태어난 강이나 하천으로 돌아오는 회유성 어류입니다.,生活のほとんどを海で過ごし産卵期になると自分が生まれた川や河川に戻ってくる回遊性の魚です。,是一种生命大部分时间生活在海洋中产卵期会洄游到其出生河流或溪流的洄游性鱼类。,ETC
fs_2101,octopus,문어,タコ,章鱼,생선
fs_2101_01,A mollusk with a large head and eight suckered limbs famous for its high intelligence and remarkable camouflage skills.,머리가 크고 여덟 개의 빨판 달린 다리를 가졌으며 뛰어난 지능과 위장술로 유명한 연체동물입니다.,頭が大きく吸盤のある8本の足を持ち優れた知能と擬態術で知られる軟体動物です。,是一种头部较大拥有八条带吸盘肢体的软体动物以其高智商和卓越的伪装术而闻名。,ETC
fs_2102,giantmoray,대왕곰치,ウツボ,巨型裸胸鳝,생선
fs_2102_01,One of the world's largest moray eels with a long snake-like body and formidable sharp teeth.,몸이 길고 뱀과 비슷하며 날카로운 이빨을 가진 세계에서 가장 큰 곰치류 중 하나입니다.,体が長く蛇に似ており鋭い歯を持つ巨大なウツボ類で主にサンゴ礁の隙間に隠れて生活します。,是一种体型巨大身体细长似蛇具有尖锐牙齿主要隐藏在珊瑚礁缝隙中生活的海鳝。,ETC
fs_2103,seahorse,해마,タツノオトシゴ,海马,생선
fs_2103_01,A fish with a horse-like head and a unique reproductive form where the male receives eggs in a brood pouch and gives birth.,머리가 말과 비슷하며 수컷이 육아낭에서 알을 받아 출산하는 독특한 생식 형태를 가진 어류입니다.,頭が馬に似ておりオスが育児嚢で卵を受け取り出産する独特な生殖形態を持つ魚です。,是一种头部与马相似雄性在育儿袋中接受卵子并分娩的生殖方式独特的鱼类。,ETC
fs_2104,pufferfish,복어,フグ,河豚,생선
fs_2104_01,A fish famous for its ability to inflate its body and raise spines when threatened and some species contain the potent neurotoxin tetrodotoxin.,위협을 느끼면 몸을 부풀려 가시를 세우고 일부 종은 맹독인 테트로도톡신을 가진 것으로 유명한 어류입니다.,脅威を感じると体を膨らませて棘を立て一部の種は猛毒であるテトロドトキシンを持つことで知られる魚です。,是一种在感到威胁时会膨胀身体竖起刺并且部分物种含有剧毒河豚毒素而闻名的鱼类。,ETC
fs_2105,seahare,군소,アメフラシ,海兔,생선
fs_2105_01,A slow-moving sea slug characterized by its varied body colors and the trait of ejecting purple ink when threatened.,몸의 색깔이 다양하며 위협을 느끼면 보라색 먹물을 내뿜는 특징을 가진 느리게 움직이는 바다 달팽이입니다.,体の色が様々で脅威を感じると紫色の墨を吐き出す特徴を持つ動きの遅いウミウシの仲間です。,是一种体色多样受到威胁时会喷出紫色墨汁为特征的行动缓慢的海螺。,ETC
fs_2106,crab,게,カニ,螃蟹,생선
fs_2106_01,A representative crustacean animal characterized by its hard shell claws and the distinctive trait of walking sideways.,단단한 껍데기와 집게발을 가졌으며 옆으로 걷는 특징이 있는 대표적인 갑각류 동물입니다.,硬い甲羅とハサミを持ち横歩きをする特徴がある代表的な甲殻類の動物です。,是一种拥有坚硬外壳和螯足具有横向爬行特征的代表性甲壳类动物。,ETC
fs_2107,seacucumber,해삼,ナマコ,海参,생선
fs_2107_01,An echinoderm characterized by its long cylindrical body rough projections and an extremely slow movement speed.,몸이 길고 원통형이며 오돌토돌한 돌기가 있고 이동 속도가 매우 느린 극피동물입니다.,体が長く円筒形でごつごつした突起があり移動速度が非常に遅い棘皮動物です。,是一种身体细长呈圆柱形带有粗糙突起移动速度极其缓慢的棘皮动物。,ETC
fs_2201,picassotriggerfish,피카소트리거피쉬,ムラサメモンガラ,毕加索扳机鱼,생선
fs_2201_01,A colorful tropical fish with complex patterns known for being aggressive and having a painful bite.,몸이 화려한 색과 무늬를 가지며 공격성이 강하고 물리면 아픈 것으로 알려진 열대어입니다.,体が派手な色と模様を持ち縄張り意識が強く噛まれると痛いことで知られる熱帯魚です。,是一种身体颜色鲜艳且具有攻击性被咬伤时会引起疼痛的热带鱼类。,ETC
fs_2202,redspottedgrouper,붉바리,キジハタ,赤点石斑鱼,생선
fs_2202_01,A hermaphroditic fish marked by red spots that changes sex from female to male.,몸에 붉은 점들이 있으며 암컷에서 수컷으로 성이 바뀌는 특징이 있는 자웅동체 어류입니다.,体に赤い斑点があり雌から雄に性が変わる特徴を持つ雌雄同体魚です。,是一种身体有红点会从雌性转变为雄性的雌雄同体鱼类。,ETC
fs_2203,napoleonwrasse,나폴레옹피쉬,メガネモチノウオ,苏眉鱼,생선
fs_2203_01,A very large coral reef fish characterized by a massive hump on its forehead resembling Napoleon's hat.,이마에 나폴레옹 모자와 유사한 커다란 혹이 있으며 몸집이 매우 큰 대형 산호초 어류입니다.,額にナポレオンの帽子に似た大きなコブがあり体が非常に大きい大型のサンゴ礁魚です。,是一种额头上有一个类似拿破仑帽子的巨大隆起物且体型非常大的大型珊瑚礁鱼类。,ETC
fs_2301,redtoothedtriggerfish,붉은이빨쥐치,アオモンガラ,红牙鳞鲀,생선
fs_2301_01,A tropical fish characterized by its dark blue body color and hard red teeth that protrude outside its mouth.,몸은 어두운 푸른색을 띠고 있으며 입 밖으로 돌출된 붉은색의 단단한 이빨을 가진 열대 어류입니다.,体は濃い青色で口の外に突き出た赤い硬い歯を持っている熱帯魚です。,是一种身体呈深蓝色口外长有突出的红色坚硬牙齿的热带鱼类。,ETC
fs_2401,bluewingedeel,파란날개장어,青翼のウナギ,蓝翼鳗,생선
fs_2401_01,A mysterious eel with a blue body and wing-like fins that is very rarely seen.,푸른몸에 날개처럼 펼쳐진 지느러미를 가졌으며 아주 보기 힘든 신비로운 장어입니다.,青い体に翼のような鰭を持ちめったに見られない神秘的なウナギです。,是一种身体呈蓝色拥有翼状鱼鳍极其罕见的神秘鳗鱼。,ETC
fs_3001,northernwhiting,보리멸,キス,多鳞鱚,생선
