ID,English,Korean,Japanese, Chinese,Type
etc_0001,Continue,계속하기,つづく,继续,ETC
etc_0002,New Start,새로시작,新たにスタート,新的开始,ETC
etc_0003,Credit,크레딧,クレジット,创造者,ETC
etc_0004,Option,옵션,オプション,选项,ETC
etc_0005,Exit,나가기,でかけ,出口,ETC
etc_0006,Press and hold to activate,길게 눌러 활성화,長押し で 有効 化,长按 激活,ETC
etc_0007,Shipyard,조선소,造船所,造船厂,ETC
etc_0008,Fish shop,생선가게,魚屋,鱼店,ETC
etc_0009,Village,마을,村,村庄,ETC
etc_0010,Notice board,게시판,掲示板,布告栏,ETC
etc_0011,Drag to Refuel,드래그하여 연료보급,ドラッグ して 燃料 補給,拖动 来 补充 燃料,ETC
etc_0012,Fill,채우기,満たす,补充,ETC
etc_0013,Back,뒤로,戻る,向后,ETC
etc_0014,Set default,기본값 설정,デフォルトに設定,设置默认值,ETC
etc_1001,Lack of money,잔액 부족,残高 不足,余额 不足,ETC
etc_1002,Overweight,무게 초과,重量 超過,超重,ETC
etc_1003,Cannot accept any more quests,더 이상 퀘스트를 받을 수 없음,これ 以上 クエスト を 受注 できません,无法 再 接受 任务,ETC
etc_1004,Cannot move,이동 불가,移動 不可,无法 移动,ETC
etc_1005,Congratulations You caught two fish at once,축하합니다! 한번에 물고기 두 마리를 낚았습니다!,おめでとう ござい ます 一度 に 魚 を 二 匹 釣り上げました,恭喜 您 一次 钓到 了 两 条 鱼,ETC
etc_1006,Control,컨트롤,コントロール,控制,ETC
etc_1007,Graphic,그래픽,グラフィック,图形,ETC
etc_1008,Audio,오디오,オーディオ,声音的,ETC
etc_1009,Setting,세팅,設定,环境,ETC
etc_1010,Shake,화면 흔들기,シェイク,摇动屏幕,ETC
etc_1011,Language,언어,言語,语言,ETC
etc_1012,FullScreen,풀스크린,フルスクリーン,全屏,ETC
etc_1013,Quality Level,퀄리티 레벨,品質レベル,质量等级,ETC
etc_1014,Resolution,해상도,解像度,解决,ETC
etc_1015,Frame,프레임,フレーム,框架,ETC
etc_1016,Music,음악,音楽,音乐,ETC
etc_1017,Master,마스터,マスター,掌握,ETC
etc_1018,BGM,배경음악,BGM,背景音乐,ETC
etc_1019,FX,효과음,効果音,音效,ETC
etc_1020,Enviroment,환경음,環境音,环境声音,ETC
etc_1021,Title,타이틀,タイトル,标题,ETC
etc_1022,Save & Exit,저장 및 나가기,保存して終了,保存并退出,ETC
etc_1023,Yes,예,はい,是,ETC
etc_1029,Reset Collection,도감 초기화,図鑑のリセット,图鉴重置,ETC
etc_1024,No,아니요,いいえ,不是,ETC
etc_1025,All data will be DELETED./nDo you want start a new game?,모든 데이터가 삭제됩니다./n새로운 게임을 시작하시겠습니까.,すべてのデータが削除されます。/n新しいゲームを始めますか。,所有数据将被删除。/n您想开始新游戏吗。,ETC
etc_1026,lost everything.,모든 것을 잃었다.,全てを失った.,失去了一切.,ETC
etc_1027,take a rest,휴식하기,休憩する.,休息,ETC
etc_1028,Rest,휴식,休み,休息,ETC
etc_2000,Lost {0},{0} 잃어버렸다.,{0}を失くしました,丢了{0},ETC
