ID,English,Korean,Japanese, Chinese,Type
us_1001,Small Oil Can,작은 오일통,小さなオイル缶,小型 油箱,아이템
us_1001_01,Fills up a small amount of fuel,연료를 조금 채워준다,燃料を少しだけ入れる,加了一点点燃料,ETC
us_1002,Large Oil Can,큰 오일통,大きなオイル缶,大油桶,아이템
us_1002_01,Fills up a lot of fuel,연료를 많이 채워준다,燃料をたくさん入れる,加了很多燃料,ETC
us_2001,Repair Kit,수리 키트,修理キット,修理 包,아이템
us_2001_01,A set to repair malfunctions,고장을 수리하는 세트,故障を修理するセット,修复 损坏 的 套装,ETC
us_2002,Full Repair Kit,완벽한 수리키트,完全修理キット,完美工具包,아이템
us_2002_01,Full Malfunction Repair Set,고장을 모두 수리하는 세트,全故障修理セット,完整故障修复套装,ETC
us_3001,Common Bait,일반 미끼,ノーマルルアー,普通鱼饵,아이템
us_3001_01,Can of Bait Worms,미끼용 지렁이가 들어있는 캔,釣り餌ミミズの缶詰,罐裝蚯蚓魚餌,ETC
us_3002,Quality Bait,좋은 미끼,良い餌,优质鱼饵,아이템
us_3002_01,Can of Bait Shrimp,미끼용 새우가 들어있는 캔,釣り餌用エビの缶詰,饵料虾罐头,ETC
us_3003,Excellent Bait,훌륭한 미끼,優れた餌,极好鱼饵,아이템
us_3003_01,Can of Bait Clams,미끼용 조개류가 들어있는 캔,釣り餌用貝類の缶詰,饵料贝类罐头,ETC
us_3004,Incredible Bait,엄청난 미끼,すごい餌,惊人鱼饵,아이템
us_3004_01,Can of Delicious Smelling Bait,맛있는 냄새가 나는 미끼가 들어있는 캔,美味しそうな匂いのする餌の缶詰,装满美味气味鱼饵的罐头,ETC
us_3005,Legendary Bait,전설의 미끼,伝説の餌,传说级鱼饵,아이템
us_3005_01,"With this, maybe..?",이게 있으면 아마도..?,これさえあれば..?,只要有了这个..?,ETC
us_4001,Lucky Ticket A,럭키티켓 A,ラッキーチケット A,幸运票 A,아이템
us_4001_01,Let's grab some luck,행운을 쥐어보자,幸運を掴み取ろう,把握好运吧,ETC
us_4002,Lucky Ticket B,럭키티켓 B,ラッキーチケット B,幸运票 B,아이템
us_4002_01,Let's grab even more luck,행운을 더 쥐어보자,もっと幸運を掴み取ろう,再把握更多好运吧,ETC
us_4003,Lucky Ticket C,럭키티켓 C,ラッキーチケット C,幸运票 C,아이템
us_4003_01,Let's grab a handful of luck,행운을 가득 쥐어보자,幸運をたっぷり掴み取ろう,把握满满的好运吧,ETC
us_4004,Lucky Ticket D,럭키티켓 D,ラッキーチケット D,幸运票 D,아이템
us_4004_01,Luck is only for me,행운은 오직 나를 위한 것,幸運はただ私のためのもの,好运只属于我,ETC
us_5003,Brown Money Pouch,갈색 돈주머니,茶色 の 金袋,棕色 钱袋,아이템
us_5003_01,A pouch containing a small amount of money,약간의 돈이 들어 있는 주머니,いくらか の お金 が 入った 袋,装有 少量 钱 的 袋子,ETC
us_5004,Blue Money Pouch,파란 돈주머니,青色 の 金袋,蓝色 钱袋,아이템
us_5004_01,A pouch with money inside,돈이 들어 있는 주머니,お金 が 入った 袋,装有 钱 的 袋子,ETC
us_6001,Bada News,바다일보,バダ日報,巴达 日报,아이템
us_6001_01,news of the day,오늘의 뉴스,今日のニュース,当天的新闻,ETC
us_6002,,순간이동,,,아이템
us_6002_01,,마을로 돌아간다,,,ETC
